Brand,Model,Imagen,Contenido,Contenido1,Contenido2,Contenido10,Contenido11,Contenido12
 FRANKE                                                                                     , 110.0377.738                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,8", kWh/año ,Ruido, 64, dB 
 FRANKE                                                                                     , 110.0360.101                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0378.708                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0374.838                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0360.076                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0360.077                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0360.075                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0374.839                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,8", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0360.049                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0360.080                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0374.840                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 54,8", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0378.747                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-Yellow.png,Consumo anual de energía," 57,5", kWh/año ,Ruido, 67, dB 
 FRANKE , 110.0265.678 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 42,8", kWh/año ,Ruido, 64, dB 
 FRANKE                                                                                     , 110.0260.673                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 123,6", kWh/año ,Ruido, 65, dB 
 EUROLUX BY FABER                                                                           , GLASSY ISOLA  110.0256.583                                                                                                                                                                               ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 86,7", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0260.659                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 122,2", kWh/año ,Ruido, 67, dB 
 EUROLUX BY FABER                                                                           , 110.0256.584 P1740                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 86,2", kWh/año ,Ruido, 70, dB 
 FRANKE                                                                                     , 110.0039.316                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 121,7", kWh/año ,Ruido, 65, dB 
 FRANKE                                                                                     , 110.0197.426                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 97,5", kWh/año ,Ruido, 68, dB 
 FRANKE                                                                                     , 110.0361.903                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía, 81, kWh/año ,Ruido, 69, dB 
 EUROLUX BY FABER                                                                           , FLEXA 500 110.0255.610                                                                                                                                                                                   ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 88,4", kWh/año ,Ruido, 69, dB 
 FRANKE                                                                                     , 110.0260.653                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 151,5", kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0275.412                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 159,5", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0260.658                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 151,5", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0197.431                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 101,5", kWh/año ,Ruido, 64, dB 
 EUROLUX BY FABER                                                                           , FLEXA 500 110.0255.608                                                                                                                                                                                   ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 88,4", kWh/año ,Ruido, 69, dB 
 EUROLUX BY FABER                                                                           , FLEXA 500 110.0255.609                                                                                                                                                                                   ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 88,4", kWh/año ,Ruido, 69, dB 
 FABER                                                                                      , 110.0157.147 P0451                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 125,5", kWh/año ,Ruido, 63, dB 
 FABER                                                                                      , 110.0184.818 P1297                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía, 95, kWh/año ,Ruido, 67, dB 
 FLAMINIA                                                                                   , 110.0154.024 P1451                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0157.098 P1466                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 68, dB 
 FABER                                                                                      , 110.0294.082 P1425                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 73,5", kWh/año ,Ruido, 61, dB 
 FRANKE                                                                                     , 110.0152.533                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía, 138, kWh/año ,Ruido, 63, dB 
