Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 Neckar , 7736505498 ,Annual fuel consumption, 6,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736505551 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Zeus , 7736504453 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Zeus , 7736504454 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736504449 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vulcano , 7736504446 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Junkers , 7736504450 ,Annual fuel consumption, 12,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Galmet , SG Neptun 2 50 (01-0580**) ,Annual fuel consumption, -,Annual electricity consumption , 1 375,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 OCEAN , SVO 50 CE ,Annual fuel consumption, 1 412,Annual electricity consumption , 1 412,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TIKI , HPTCM300ZG ,Annual electricity consumption , 935,Water heating energy efficiency, 179,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 TIKI , HPTC200ZGNT ,Annual electricity consumption , 797,Water heating energy efficiency, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 TIKI , HPTCM200ZG ,Annual electricity consumption , 576,Water heating energy efficiency, 178,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 TIKI , HPTC300ZGNT ,Annual electricity consumption , 1 231,Water heating energy efficiency, 136,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Bosch , 7736505681 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Bosch , 7736505682 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
