Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
 Plamen , Plamen 850 Glas ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 111,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Plamen , Julia ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Justus GmbH , Arktis 7 2.0 ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Justus GmbH , Arktis 5 2.0 ,Direct heat output, 5,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 JØTUL , PF500 ,Direct heat output," 6,2",Indirect heat output, -,Energy Efficiency Index, 129,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Spartherm Feuerungstechnik GmbH , Senso L klassik ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Spartherm Feuerungstechnik GmbH , Senso L (ab 07/2020) ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Spartherm Feuerungstechnik GmbH , Senso L fashion ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Faber , Fyn ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 ARCE , HIDROTECH T18 ,Direct heat output," 1,6",Indirect heat output," 14,8",Energy Efficiency Index, 134,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Ferroli , SALERNO PELLET 30 ,Direct heat output," 3,8",Indirect heat output," 26,7",Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Ferroli , SALERNO PELLET 24 ,Direct heat output," 2,9",Indirect heat output," 21,3",Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Ferroli , SALERNO PELLET 18 ,Direct heat output," 2,1",Indirect heat output," 16,1",Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 ARCE , MIKRO' 6 ,Direct heat output," 5,7",Indirect heat output, -,Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 VULCANIA , RINA ,Direct heat output," 5,6",Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 VULCANIA , RINA FORNO ,Direct heat output," 6,1",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 VULCANIA , SMART 9 ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ARCE , SOANA ,Direct heat output," 2,6",Indirect heat output," 20,7",Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 LINCAR , ALICE 480AZ ,Direct heat output," 5,6",Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ARCE , JOY 8 ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ARCE , ENERGY ,Direct heat output," 9,5",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 VULCANIA , KATIA ,Direct heat output," 5,6",Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Edilkamin , Nara2 ,Direct heat output," 6,9",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ferroli , SALERNO PELLET 12 ,Direct heat output," 1,1",Indirect heat output," 11,1",Energy Efficiency Index, 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 SAEY , Fura ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 112,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ARCE , EASY ,Direct heat output," 9,5",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ARCE , HIDROTECH T25 ,Direct heat output," 2,6",Indirect heat output," 20,7",Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
