Type,Title,eclrow,Content,eclrow2,eclrow3,eclrow5,eclrow6,eclrow7,eclrow8,eclrow9,eclrow10,Image
 CIAM Spa , CBBNVF2P7H5TI ,Annual energy consumption, 1 992, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 156,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 CIAM Spa , CBBNVF3P7H5TI ,Annual energy consumption, 2 755, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 234,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 CIAM Spa , SGBNVF2P6H5TI ,Annual energy consumption, 1 651, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 100,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 CIAM Spa , SPBNVF3P7H5TI ,Annual energy consumption, 2 792, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 233,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 CIAM Spa , CPBNVF3P7H5TI ,Annual energy consumption, 2 792, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 233,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 TECNODOM SPA , TRBAR14TCPKPA ,Annual energy consumption, 1 387, kWh/annum ,Volume (Chilled), 909, Liters ,Volume (Frozen), 909,Climate class, 3 (25ºC - 60%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 TECNODOM SPA , TRBAR07TCPKPB ,Annual energy consumption, 945, kWh/annum ,Volume (Chilled), 413, Liters ,Volume (Frozen), 413,Climate class, 3 (25ºC - 60%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 TECNODOM SPA , TRBAR07TGPKPB ,Annual energy consumption, 2 591, kWh/annum ,Volume (Chilled), 413, Liters ,Volume (Frozen), 413,Climate class, 3 (25ºC - 60%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 TECNODOM SPA , TRBTF04EKOGN ,Annual energy consumption, 1 744, kWh/annum ,Volume (Chilled), 413, Liters ,Volume (Frozen), 413,Climate class, 3 (25ºC - 60%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 TECNODOM SPA , TRAAR14TGPKPA ,Annual energy consumption, 4 325, kWh/annum ,Volume (Chilled), 909, Liters ,Volume (Frozen), 909,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
