,Brand,Model,Contenido2,Consumo en Ciclo Completo,Label Ciclo Completo,Consumo en Ciclo de Lavado,Label Ciclo de Lavado
393, LG Electronics , F4DV508S2WE ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
394, LG Electronics , K4DV508S1WE ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
395, LG Electronics , F4DV508S0WE ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
396, LG Electronics , F4DV508S2PE ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
397, LG Electronics , F14WD86TN1B ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
398, LG Electronics , F84DV5UTW0 ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
399, LG Electronics , V4WD860B ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
400, LG Electronics , F4DV508S1E ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
401, LG Electronics , F4DV509S2TE ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
402, LG Electronics , F4DV3108S0W ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
