Type,Title,eclrow5,Content6,Image
 Beko , WTV10746XDW 7158142500 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Beko , WTE10741BSCDOS1 7158142800 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Continental Edison , CELL10140TW ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 68,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 ALBALUX , AXW085A+ ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 69,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ALBALUX , AXW106A+ ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 LG Electronics , F6WV910P2 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F6WV910P2SE ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WV9009P2W ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WV910P2WE ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F6WV910PS2E ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
