Title,Type,Image,Image1,eclbuttonprimary,eclrow,eclrow2,eclrow3,eclrow4,Type5
 WNA144V0FR , Bosch ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 HWD80-B14939S8 , Haier ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 HWD90-B14939 , Haier ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 FFWDB 964369 WV EE , WHIRLPOOL ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 HWD100-B14939 , Haier ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 FFWDB 964369 SV EE , WHIRLPOOL ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 WT Super Eco 86 43 N , BAUKNECHT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 FFWDD 1176258 BCV EE , WHIRLPOOL ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 BDE 96436X W UK N , INDESIT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 PWWT X 86H69 , PRIVILEG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
